code,component_type,component_id,coefficient
1.1.1.1,material,12,0.0387
1.1.1.1,material,13,0.0396
1.1.1.1,material,14,0.5872
1.1.1.1,material,15,26.406
1.1.1.1,material,16,61.56
1.1.1.1,material,17,83.349
1.1.1.1,material,18,17.415
1.1.1.1,material,19,0.4
1.1.1.2,material,12,0.031
1.1.1.2,material,14,0.4271
1.1.1.2,material,15,26.406
1.1.1.2,material,16,61.56
1.1.1.2,material,17,83.349
1.1.1.2,material,18,17.415
1.1.1.2,material,20,1.3125
1.1.1.3,material,12,0.0139
1.1.1.3,material,14,0.4715
1.1.1.3,material,15,26.406
1.1.1.3,material,16,61.56
1.1.1.3,material,17,83.349
1.1.1.3,material,18,17.415
1.1.1.3,material,21,20.4457
1.1.1.4,material,22,1.2
1.1.1.4,material,23,13.5
1.1.1.4,material,24,0.3
1.1.1.4,material,25,0.15
1.1.1.5,material,26,0.01649
1.1.1.6,material,15,45.0
1.1.1.6,material,16,0.074
1.1.1.6,material,17,0.146
1.1.1.6,material,27,0.986
1.1.1.6,material,28,0.525
1.1.2.1,material,29,0.35
1.1.2.1,material,30,0.077
1.1.2.1,material,31,5.8
1.1.2.1,material,32,1.25
1.1.2.1,material,33,2.5
1.1.2.2,material,32,1.25
1.1.2.2,material,33,1.5
1.1.2.2,material,34,0.18
1.1.2.2,material,35,0.021
1.1.2.2,material,36,0.1
1.1.2.2,material,37,0.48
1.1.2.3,material,14,0.08
1.1.2.3,material,15,35.0
1.1.2.3,material,16,0.1
1.1.2.3,material,38,1.25
1.1.2.3,material,39,0.18
1.1.2.3,material,40,1.1
1.1.2.3,material,41,0.15
1.1.2.3,material,42,0.15
1.1.2.3,material,43,30.0
1.1.2.3,material,44,0.25
1.1.2.3,material,45,0.2
1.1.2.3,material,46,0.08
1.1.2.3,material,47,0.15
1.1.2.3,material,48,0.06
1.1.2.4,material,49,0.35
1.1.2.4,material,50,1.0
1.1.2.4,material,51,0.17
1.1.2.4,material,52,1.24
1.1.2.4,material,53,0.75
1.1.2.4,material,54,0.3
1.1.2.4,material,55,0.1
1.1.2.4,material,56,0.15
1.1.2.4,material,57,0.1
1.1.2.4,material,58,1.0
1.1.2.4,material,59,16.5
1.1.2.5,material,60,1.0594
1.1.2.5,material,61,0.3311
1.1.2.5,material,62,0.1854
1.1.2.5,material,63,80.0
1.1.4.1,material,12,0.151
1.1.4.1,material,64,0.508
1.1.4.2,material,49,0.013
1.1.4.2,material,65,0.007
1.1.4.2,material,66,0.02
1.1.4.3,material,12,0.013
1.1.4.3,material,64,1.1
1.1.4.4,material,12,0.0035
1.1.4.4,material,64,1.1
1.1.4.5,material,67,1.05
1.1.4.5,material,68,1.05
1.1.4.6,material,67,0.0035
1.1.4.6,material,69,1.1
1.3.1.2,material,70,1.2
1.3.1.3,material,70,1.2
1.3.1.4,material,71,1.4
1.3.1.5,material,72,1.4
1.3.1.6,material,17,1.4
1.3.1.7,material,73,1.0
1.3.2.2,material,74,1.2
1.3.3.5,material,17,1.13
1.3.3.6,material,75,1.13
1.5.1,material,76,1.1
1.5.2,material,76,1.1
1.5.3,material,77,1.2
1.5.4,material,77,1.2
1.5.5,material,78,1.3
1.5.6,material,78,1.3
1.5.7,material,79,1.1
1.5.8,material,80,1.3
1.5.8,material,81,0.0331
1.5.8,material,82,21.0
1.6.3,material,83,1.2
1.6.4,material,83,1.2
10.1.1,material,132,0.053
10.1.1,material,133,51.598
10.1.2,material,132,0.053
10.1.2,material,133,45.458
10.1.3,material,132,0.053
10.1.3,material,133,24.931
10.1.4,material,107,0.072
10.1.5,material,107,0.048
10.1.6,material,107,0.03
10.1.7,material,1880,6.0755
10.1.7,material,1881,0.2464
10.1.7,material,1882,0.0025
10.1.7,material,1883,1.0
10.1.7,material,1884,0.0204
10.1.7,material,1885,0.0204
10.1.8,material,1880,5.5027
10.1.8,material,1881,0.1344
10.1.8,material,1883,1.0
10.1.8,material,1884,0.0145
10.1.8,material,1885,0.0145
10.1.8,material,1886,0.0025
10.1.9,material,1880,4.2973
10.1.9,material,1884,0.011
10.1.9,material,1885,0.011
10.1.9,material,1887,0.0025
10.1.9,material,1888,1.0
10.2.1,material,66,0.5
10.2.1,material,106,0.0204
10.2.1,material,385,0.0063
10.2.1,material,1889,57.6
10.2.1,material,1890,3.0
10.2.2,material,1891,78.0
10.2.2,material,1892,30.0
10.2.2,material,1893,30.0
10.3.1,material,1894,104.0
10.3.1,material,1895,133.0
10.3.1,material,1896,156.0
10.3.1,material,1897,786.0
10.3.1,material,1898,80.0
10.3.1,material,1899,24.0
10.3.1,material,1900,174.0
10.3.1,material,1901,12.0
10.3.1,material,1902,30.0
10.3.1,material,1903,15.0
2.1.1.1,material,84,0.9603
2.1.1.2,material,84,0.9603
2.1.1.3,material,85,1.05
2.1.1.3,material,86,2.0
2.1.1.4,material,86,4.0
2.1.1.4,material,87,1.05
2.1.2.1,material,88,1.1
2.1.2.1,material,89,15.0
2.1.2.1,material,90,5.6
2.1.2.2,material,89,15.0
2.1.2.2,material,90,5.6
2.1.2.2,material,91,1.2
2.1.2.3,material,88,1.1
2.1.2.3,material,89,15.0
2.1.2.3,material,90,3.0
2.1.2.4,material,12,0.014
2.1.2.4,material,92,0.0036
2.1.2.4,material,93,0.25
2.1.2.5,material,12,0.014
2.1.2.5,material,93,0.25
2.1.2.5,material,94,0.0057
2.1.2.6,material,95,0.165
2.1.2.6,material,96,0.2
2.2.1.1.1,material,97,1.02
2.2.1.1.1,material,98,0.015
